GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
petclinic,org.springframework.samples.petclinic,PetClinicApplication,5,3,0,0,2,1,1,1,1,1
petclinic,org.springframework.samples.petclinic,PetClinicRuntimeHints,34,0,0,0,8,0,2,0,2,0
petclinic,org.springframework.samples.petclinic.model,NamedEntity,0,19,0,2,0,6,0,5,0,4
petclinic,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
petclinic,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
petclinic,org.springframework.samples.petclinic.vet,VetController,0,82,0,0,0,19,0,5,0,5
petclinic,org.springframework.samples.petclinic.vet,Vet,0,34,0,2,0,10,0,6,0,5
petclinic,org.springframework.samples.petclinic.vet,Specialty,0,3,0,0,0,1,0,1,0,1
petclinic,org.springframework.samples.petclinic.vet,Vets,0,14,0,2,0,4,0,3,0,2
petclinic,org.springframework.samples.petclinic.owner,OwnerController,12,213,0,14,0,53,2,19,2,12
petclinic,org.springframework.samples.petclinic.owner,PetType,0,3,0,0,0,1,0,1,0,1
petclinic,org.springframework.samples.petclinic.owner,PetTypeFormatter,1,43,1,5,0,11,1,5,0,3
petclinic,org.springframework.samples.petclinic.owner,Pet,0,31,0,0,0,11,0,7,0,7
petclinic,org.springframework.samples.petclinic.owner,Visit,0,20,0,0,0,9,0,5,0,5
petclinic,org.springframework.samples.petclinic.owner,VisitController,13,77,1,3,1,21,2,6,1,5
petclinic,org.springframework.samples.petclinic.owner,Owner,2,151,5,13,1,43,5,18,0,14
petclinic,org.springframework.samples.petclinic.owner,PetController,25,206,7,23,3,52,9,19,2,11
petclinic,org.springframework.samples.petclinic.owner,PetValidator,0,41,0,8,0,11,0,7,0,3
petclinic,org.springframework.samples.petclinic.system,CrashController,0,8,0,0,0,2,0,2,0,2
petclinic,org.springframework.samples.petclinic.system,WebConfiguration,0,27,0,0,0,9,0,4,0,4
petclinic,org.springframework.samples.petclinic.system,WelcomeController,2,3,0,0,1,1,1,1,1,1
petclinic,org.springframework.samples.petclinic.system,CacheConfiguration,13,6,0,0,1,2,2,2,2,2
